,Artists,Titles,Lyrics(BOW)
63,selah sue,this world,"['I', 'fear', 'real', 'danger', 'thi', 'world', 'ai', ""n't"", 'simpl', 'but', 'I', ""'m"", 'strong', 'I', 'know', 'how', 'to', 'get', 'out', 'and', 'I', ""'ll"", 'find', 'my', 'way', ""'caus"", ""'caus"", 'it', ""'s"", 'love', 'real', 'simpl', 'and', 'that', ""'s"", 'how', 'it', 'work', 'Oh', 'oh', 'oh', '.', 'So', 'wo', ""n't"", 'you', 'just', 'give', 'it', 'up', ""'caus"", 'you', 'do', ""n't"", 'understand', 'big', 'it', 'up', 'but', 'you', 'do', ""n't"", 'understand', 'and', 'it', ""'s"", 'realli', 'nice', 'but', 'you', 'do', ""n't"", 'understand', 'So', 'big', 'it', 'up', ""'caus"", 'you', 'do', ""n't"", 'understand', 'yeah', ""'caus"", 'you', 'do', ""n't"", 'understand', 'babi', 'I', 'feel', 'it', ""'s"", 'fallen', 'down', 'I', 'know', 'I', ""'ll"", 'catch', 'it', 'you', 'crazi', 'world', 'crazi', 'world', 'yeah', '.', 'I', 'feel', 'real', 'passionn', 'you', 'feel', 'the', 'sun', 'come', 'down', '.', 'I', ""'ll"", 'make', 'it', 'shine', 'yeah', 'you', 'crazi', 'world', 'crazi', 'world', 'yeah', '.', 'I', 'can', 'see', 'your', 'fear', ""'caus"", 'thi', 'world', 'ai', ""n't"", 'simpl', 'but', 'I', ""'m"", 'strong', 'I', 'know', 'how', 'to', 'stay', 'out', 'and', 'I', ""'ll"", 'find', 'my', 'way', ""'caus"", ""'caus"", 'it', ""'s"", 'love', 'it', ""'s"", 'love', 'it', ""'s"", 'love', 'it', ""'s"", 'love', 'it', ""'s"", 'love', 'yeah', '.', 'Oh', 'oh', 'oh', '.', 'So', 'wo', ""n't"", 'you', 'just', 'give', 'it', 'up', ""'caus"", 'you', 'do', ""n't"", 'understand', 'big', 'it', 'up', 'but', 'you', 'do', ""n't"", 'understand', 'and', 'it', ""'s"", 'realli', 'nice', 'but', 'you', 'do', ""n't"", 'understand', 'So', 'big', 'it', 'up', ""'caus"", 'you', 'do', ""n't"", 'understand', 'yeah', ""'caus"", 'you', 'do', ""n't"", 'understand', 'babi', 'I', 'feel', 'it', ""'s"", 'fallin', ""'"", 'down', 'I', 'know', 'I', ""'ll"", 'catch', 'it', 'you', 'crazi', 'world', 'crazi', 'world', 'yeah', '.', 'I', 'feel', 'real', 'passionn', 'you', 'feel', 'the', 'sun', 'come', 'down', '.', 'I', ""'ll"", 'make', 'it', 'shine', 'yeah', 'you', 'crazi', 'world', 'crazi', 'world', 'yeah', '.', 'I', 'feel', 'it', ""'s"", 'fallin', ""'"", 'down', 'I', 'know', 'I', ""'ll"", 'catch', 'it', 'you', 'crazi', 'world', 'crazi', 'world', 'yeah', '.', 'I', 'feel', 'real', 'passionn', 'you', 'feel', 'the', 'sun', 'come', 'down', '.', 'I', ""'ll"", 'make', 'it', 'shine', 'yeah', 'you', 'crazi', 'world', 'crazi', 'world', 'yeah', '.', 'crazi', 'world', 'crazi', 'world', 'yeah', '...', 'crazi', 'world', 'crazi', 'world', 'yeah', '...']"
64,selah sue,i won't go for more,"['If', 'I', 'call', 'for', 'you', 'will', 'it', 'feed', 'the', 'flame', 'when', 'it', 'alreadi', 'break', 'us', 'in', 'two', 'caus', 'I', 'want', 'a', 'glanc', 'Of', 'how', 'the', 'stori', 'end', 'but', 'I', 'alreadi', 'know', 'the', 'truth', 'what', 'would', 'I', 'have', 'to', 'gain', 'If', 'I', 'had', 'everyth', 'so', 'few', 'but', 'I', ""'m"", 'reliev', 'it', 'your', 'with', 'my', 'feel', 'on', 'the', 'line', 'I', 'would', 'do', 'anyth', 'to', 'fight', 'thi', 'rage', 'forc', 'So', 'I', 'wo', ""n't"", 'go', 'for', 'more', 'I', 'wo', ""n't"", 'go', 'for', 'more', 'till', 'the', 'rain', 'stop', 'would', ""n't"", 'go', 'for', 'more', 'would', ""n't"", 'go', 'for', 'more', 'till', 'the', 'haze', 'drop', 'found', 'the', 'light', 'and', 'hold', 'it', 'close', 'to', 'you', 'but', 'it', ""'s"", 'alreadi', 'too', 'late', 'for', 'that', 'I', 'could', 'sing', 'the', 'note', 'hopeless', 'as', 'they', 'sound', 'their', 'encourag', 'in', 'my', 'head', 'our', 'live', 'down', 'the', 'drain', 'I', 'would', 'do', 'anyth', 'for', 'you', 'I', 'can', 'take', 'the', 'blame', 'My', 'heart', ""'s"", 'on', 'the', 'line', 'I', 'ca', ""n't"", 'do', 'anyth', 'but', 'lose', 'thi', 'chang', 'game', 'So', 'I', 'wo', ""n't"", 'go', 'for', 'more', 'I', 'wo', ""n't"", 'go', 'for', 'more', 'till', 'the', 'rain', 'stop', 'would', ""n't"", 'go', 'for', 'more', 'would', ""n't"", 'go', 'for', 'more', 'till', 'the', 'haze', 'drop', 'I', 'wo', ""n't"", 'go', 'for', 'more', 'I', 'wo', ""n't"", 'go', 'for', 'more', 'till', 'the', 'rain', 'stop', 'would', ""n't"", 'go', 'for', 'more', 'I', 'wo', ""n't"", 'go', 'for', 'more', 'till', 'the', 'haze', 'drop', 'but', 'I', ""'ll"", 'sing', 'for', 'you', 'ye', 'I', ""'ll"", 'sing', 'for', 'you', 'what', 'is', 'in', 'my', 'heart', 'let', 'it', 'ring', 'through', 'you', 'I', ""'ll"", 'sing', 'for', 'you', 'I', ""'ll"", 'sing', 'for', 'you', 'what', 'is', 'in', 'my', 'heart', 'let', 'it', 'ring', 'through', 'you', 'I', ""'ll"", 'sing', 'for', 'you', 'I', ""'ll"", 'sing', 'for', 'you', 'I', ""'ll"", 'sing', 'for', 'you', 'I', ""'ll"", 'sing', 'for', 'you', 'I', ""'ll"", 'sing', 'for', 'you', 'I', ""'ll"", 'sing', 'for', 'you', '...']"
65,erykah badu,Didn't Cha Know,"['Oh', 'hey', '...', 'ooh', 'hey', 'I', ""'m"", 'tri', 'to', 'decid', 'which', 'way', 'to', 'go', 'I', 'think', 'I', 'made', 'a', 'wrong', 'turn', 'back', 'there', 'somewher', 'ooh', 'hey', 'I', ""'m"", 'tri', 'to', 'decid', 'which', 'way', 'to', 'go', 'I', 'think', 'I', 'made', 'a', 'wrong', 'turn', 'back', 'there', 'somewher', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'tri', 'to', 'move', 'but', 'I', 'lost', 'my', 'way', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'stop', 'to', 'watch', 'my', 'emot', 'sway', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'knew', 'the', 'toll', 'but', 'I', 'would', 'not', 'pay', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'caus', 'you', 'never', 'know', 'where', 'the', 'card', 'may', 'lay', 'time', 'to', 'save', 'the', 'world', 'where', 'in', 'the', 'world', 'is', 'all', 'the', 'time', 'So', 'mani', 'thing', 'I', 'still', 'do', ""n't"", 'know', 'So', 'mani', 'time', 'I', ""'ve"", 'chang', 'my', 'mind', 'guess', 'I', 'wa', 'born', 'to', 'make', 'mistak', 'but', 'I', 'ai', ""n't"", 'scare', 'to', 'take', 'the', 'weight', 'So', 'when', 'I', 'stumbl', 'off', 'the', 'path', 'I', 'know', 'my', 'heart', 'will', 'guid', 'me', 'back', 'ooh', 'hey', 'I', ""'m"", 'tri', 'to', 'decid', 'which', 'way', 'to', 'go', 'I', 'think', 'I', 'made', 'a', 'wrong', 'turn', 'back', 'there', 'somewher', 'ooh', 'hey', 'I', ""'m"", 'tri', 'to', 'decid', 'which', 'way', 'to', 'go', 'I', 'think', 'I', 'made', 'a', 'wrong', 'turn', 'back', 'there', 'somewher', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'tri', 'to', 'run', 'but', 'I', 'lost', 'my', 'way', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'stop', 'to', 'watch', 'my', 'emot', 'sway', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'knew', 'the', 'toll', 'but', 'I', 'would', 'not', 'pay', 'did', ""n't"", 'cha', 'know', 'did', ""n't"", 'cha', 'know', 'I', 'said', 'ya', 'never', 'know', 'how', 'the', 'card', 'may', 'lay', 'love', 'is', 'life', 'and', 'life', 'is', 'free', 'take', 'a', 'ride', 'on', 'life', 'with', 'me', 'free', 'your', 'mind', 'and', 'find', 'your', 'way', 'there', 'will', 'be', 'a', 'brighter', 'day', 'love', 'is', 'life', 'and', 'life', 'is', 'free', 'take', 'a', 'ride', 'on', 'life', 'with', 'me', 'free', 'your', 'mind', 'and', 'find', 'your', 'way', 'there', 'will', 'be', 'a', 'brighter', 'day']"
66,flying lotus,never gonna catch me,[]
67,thundercat,them changes,"['nobodi', 'move', 'there', ""'s"", 'blood', 'on', 'the', 'floor', 'and', 'I', 'ca', ""n't"", 'find', 'my', 'heart', '!', 'where', 'did', 'it', 'go', '?', 'did', 'I', 'leav', 'it', 'in', 'the', 'cold', '?', 'So', 'pleas', 'give', 'it', 'back', ""'caus"", 'it', ""'s"", 'not', 'your', 'to', 'take', '!', 'It', 'must', 'have', 'fell', 'when', 'I', 'lost', 'my', 'mind', 'deep', 'in', 'the', 'cut', 'drown', 'in', 'a', 'pain', 'somebodi', 'help', ""'caus"", 'I', 'ca', ""n't"", 'find', 'my', 'way', 'nobodi', 'move', 'nobodi', 'move', '!', 'somebodi', 'tell', 'me', 'how', 'I', ""'m"", 'suppos', 'to', 'feel', 'when', 'I', ""'m"", 'sit', 'here', 'know', 'thi', 'ai', ""n't"", 'real', 'whi', 'in', 'the', 'world', 'would', 'I', 'give', 'my', 'heart', 'to', 'you', '?', 'just', 'to', 'watch', 'you', 'throw', 'it', 'in', 'the', 'trash', 'I', ""'ve"", 'been', 'travel', 'so', 'long', 'I', 'do', ""n't"", 'think', 'I', 'can', 'hold', 'on', 'where', 'were', 'you', 'when', 'I', 'need', 'you', 'the', 'most', '?', 'now', 'I', ""'m"", 'sit', 'here', 'with', 'a', 'black', 'hole', 'in', 'my', 'chest', 'A', 'heartless', 'broken', 'mess']"
68,thundercat,show you the way,"['let', 'me', 'show', 'you', 'show', 'you', 'the', 'way', 'On', 'the', 'edg', 'of', 'dark', 'there', ""'s"", 'the', 'brightest', 'light', 'A', 'burn', 'one', 'on', 'the', 'edg', 'of', 'dark', 'where', 'no-on', 'can', 'tell', 'their', 'world', 'apart', 'We', ""'ll"", 'live', 'with', 'dark', 'just', 'take', 'the', 'ride', 'It', ""'s"", 'your', 'boy', 'thundercat', 'heavy-heart', 'but', 'my', 'burden', ""'s"", 'light', 'I', 'just', 'wan', 'na', 'live', 'learn', 'how', 'to', 'fight', 'when', 'it', ""'s"", 'all', 'over', 'breath', 'into', 'the', 'light', 'sink', 'or', 'swim', 'I', ""'m"", 'not', 'scare', 'to', 'die', 'tell', ""'em"", 'how', 'you', 'feel', 'kenni', 'kenni', 'loggin', 'your', 'heart', 'is', 'struggl', 'babi', 'tri', 'to', 'believ', 'that', 'there', 'might', 'be', 'someth', 'you', 'just', 'could', ""n't"", 'see', 'but', 'what', 'if', 'I', 'told', 'you', 'that', 'it', ""'s"", 'all', 'so', 'easi', 'let', 'me', 'show', 'you', 'show', 'you', 'the', 'way', 'On', 'the', 'edg', 'of', 'dark', 'there', ""'s"", 'the', 'brightest', 'light', 'A', 'burn', 'one', 'on', 'the', 'edg', 'of', 'dark', 'where', 'no', 'one', 'can', 'tell', 'their', 'world', 'apart', 'We', ""'ll"", 'live', 'with', 'dark', 'just', 'take', 'the', 'ride', 'ladi', 'and', 'gentlemen', 'michael', 'mcdonald', 'wake', 'up', 'and', 'dream', 'tear', 'down', 'the', 'wall', 'Of', 'all', 'you', 'believ', 'that', 'might', 'not', 'be', 'true', 'As', 'long', 'love', 'lie', 'wait', 'there', 'just', 'hold', 'your', 'face', 'into', 'the', 'light', 'though', 'right', 'now', 'you', 'might', 'not', 'know', 'whi', 'As', 'long', 'love', 'lie', 'wait', 'there', 'ai', ""n't"", 'no', 'other', 'way', 'babi', 'let', 'me', 'show', 'you', 'show', 'you', 'the', 'way', 'On', 'the', 'edg', 'of', 'dark', 'there', ""'s"", 'the', 'brightest', 'light', 'A', 'burn', 'one', 'on', 'the', 'edg', 'of', 'dark', 'where', 'no', 'one', 'can', 'tell', 'their', 'world', 'apart', 'We', ""'ll"", 'live', 'with', 'dark', 'just', 'take', 'the', 'ride', 'hey', 'how', ""'s"", 'it', 'go', '?', 'thi', 'is', 'your', 'boy', 'thundercat', '.', 'If', 'you', ""'re"", 'go', 'to', 'fill', 'your', 'water', 'bottl', 'with', 'vodka', 'alway', 'make', 'sure', 'you', 'have', 'a', 'friend', 'with', 'a', 'bottl', 'that', 'actual', 'ha', 'water', 'in', 'it']"
69,bill withers,lovely day,"['when', 'I', 'wake', 'up', 'in', 'the', 'mornin', ""'"", 'love', 'and', 'the', 'sunlight', 'hurt', 'my', 'eye', 'and', 'somethin', ""'"", 'without', 'warnin', ""'"", 'love', 'bear', 'heavi', 'on', 'my', 'mind', 'then', 'I', 'look', 'at', 'you', 'and', 'the', 'world', ""'s"", 'alright', 'with', 'me', 'just', 'one', 'look', 'at', 'you', 'and', 'I', 'know', 'it', ""'s"", 'gon', 'na', 'be', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'when', 'the', 'day', 'that', 'lie', 'ahead', 'of', 'me', 'seem', 'imposs', 'to', 'face', 'when', 'someon', 'els', 'instead', 'of', 'me', 'alway', 'seem', 'to', 'know', 'the', 'way', 'then', 'I', 'look', 'at', 'you', 'and', 'the', 'world', ""'s"", 'alright', 'with', 'me', 'just', 'one', 'look', 'at', 'you', 'and', 'I', 'know', 'it', ""'s"", 'gon', 'na', 'be', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'when', 'the', 'day', 'that', 'lie', 'ahead', 'of', 'me', 'seem', 'imposs', 'to', 'face', 'and', 'when', 'someon', 'els', 'instead', 'of', 'me', 'alway', 'seem', 'to', 'know', 'the', 'way', 'then', 'I', 'look', 'at', 'you', 'and', 'the', 'world', ""'s"", 'alright', 'with', 'me', 'just', 'one', 'look', 'at', 'you', 'and', 'I', 'know', 'it', ""'s"", 'gon', 'na', 'be', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', 'A', 'love', 'day', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', 'love', 'day', ')', '(', 'love', 'day', ')']"
70,stevie wonder,i wish,"['look', 'back', 'on', 'when', 'I', 'wa', 'a', 'littl', 'nappy-head', 'boy', 'then', 'my', 'onli', 'worri', 'wa', 'for', 'christma', 'what', 'would', 'be', 'my', 'toy', 'even', 'though', 'we', 'sometim', 'would', 'not', 'get', 'a', 'thing', 'We', 'were', 'happi', 'with', 'the', 'joy', 'the', 'day', 'would', 'bring', 'sneak', 'out', 'the', 'back', 'door', 'To', 'hang', 'out', 'with', 'those', 'hoodlum', 'friend', 'of', 'mine', 'greet', 'at', 'the', 'back', 'door', 'with', ""'boy"", 'thought', 'I', 'told', 'you', 'not', 'to', 'go', 'outsid', ""'"", 'tryin', ""'"", 'your', 'best', 'to', 'bring', 'the', 'water', 'to', 'your', 'eye', 'thinkin', ""'"", 'it', 'might', 'stop', 'her', 'from', 'whippin', ""'"", 'your', 'behind', 'I', 'wish', 'those', 'day', 'could', 'come', 'back', 'onc', 'more', 'whi', 'did', 'those', 'day', 'ever', 'have', 'to', 'go', 'I', 'wish', 'those', 'day', 'could', 'come', 'back', 'onc', 'more', 'whi', 'did', 'those', 'day', 'ever', 'have', 'to', 'go', ""'caus"", 'I', 'love', 'them', 'so', 'brother', 'say', 'he', ""'s"", 'tellin', ""'"", ""'bout"", 'you', 'playin', ""'"", 'doctor', 'with', 'that', 'girl', 'just', 'do', ""n't"", 'tell', 'I', ""'ll"", 'give', 'you', 'anyth', 'you', 'want', 'in', 'thi', 'whole', 'wide', 'world', 'mama', 'give', 'you', 'money', 'for', 'sunday', 'school', 'you', 'trade', 'your', 'for', 'candi', 'after', 'church', 'is', 'through', 'smokin', ""'"", 'cigarett', 'and', 'write', 'someth', 'nasti', 'on', 'the', 'wall', '(', 'you', 'nasti', 'boy', ')', 'teacher', 'send', 'you', 'to', 'the', 'princip', ""'s"", 'offic', 'down', 'the', 'hall', 'you', 'grow', 'up', 'and', 'learn', 'that', 'kinda', 'thing', 'ai', ""n't"", 'right', 'but', 'while', 'you', 'were', 'do', 'it', 'it', 'sure', 'felt', 'outta', 'sight', 'I', 'wish', 'those', 'day', 'could', 'come', 'back', 'onc', 'more', 'whi', 'did', 'those', 'day', 'ever', 'have', 'to', 'go', 'I', 'wish', 'those', 'day', 'could', 'come', 'back', 'onc', 'more', 'whi', 'did', 'those', 'day', 'ever', 'have', 'to', 'go']"
71,stevie wonder,sir duke,"['music', 'is', 'a', 'world', 'within', 'itself', 'with', 'a', 'languag', 'we', 'all', 'understand', 'with', 'an', 'equal', 'opportun', 'for', 'all', 'to', 'sing', 'danc', 'and', 'clap', 'their', 'hand', 'but', 'just', 'becaus', 'a', 'record', 'ha', 'a', 'groov', 'Do', ""n't"", 'make', 'it', 'in', 'the', 'groov', 'but', 'you', 'can', 'tell', 'right', 'away', 'at', 'letter', 'A', 'when', 'the', 'peopl', 'start', 'to', 'move', 'they', 'can', 'feel', 'it', 'all', 'over', 'they', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'they', 'can', 'feel', 'it', 'all', 'over', 'they', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'music', 'know', 'it', 'is', 'and', 'alway', 'will', 'Be', 'one', 'of', 'the', 'thing', 'that', 'life', 'just', 'wo', ""n't"", 'quit', 'but', 'here', 'are', 'some', 'of', 'music', ""'s"", 'pioneer', 'that', 'time', 'will', 'not', 'allow', 'us', 'to', 'forget', 'for', 'there', ""'s"", 'basi', 'miller', 'sachimo', 'and', 'the', 'king', 'of', 'all', 'sir', 'duke', 'and', 'with', 'a', 'voic', 'like', 'ella', ""'s"", 'ring', 'out', 'there', ""'s"", 'no', 'way', 'the', 'band', 'can', 'lose', 'you', 'can', 'feel', 'it', 'all', 'over', 'you', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'you', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'you', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'you', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'you', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'you', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'you', 'can', 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'I', 'can', 'feel', 'it', 'all', 'over', '-', 'all', 'over', 'now', 'peopl', 'Ca', ""n't"", 'you', 'feel', 'it', 'all', 'over', 'come', 'on', 'let', ""'s"", 'feel', 'it', 'all', 'over', 'peopl', 'you', 'can', 'feel', 'it', 'all', 'over', 'everybodi', '-', 'all', 'over', 'peopl']"
72,stevie wonder,living for the city,"['A', 'boy', 'is', 'born', 'in', 'hard', 'time', 'mississippi', 'surround', 'by', 'four', 'wall', 'that', 'ai', ""n't"", 'so', 'pretti', 'hi', 'parent', 'give', 'him', 'love', 'and', 'affect', 'To', 'keep', 'him', 'strong', 'move', 'in', 'the', 'right', 'direct', 'live', 'just', 'enough', 'just', 'enough', 'for', 'the', 'citi', '...', 'ee', 'ha', '!', 'hi', 'father', 'work', 'some', 'day', 'for', 'fourteen', 'hour', 'and', 'you', 'can', 'bet', 'he', 'bare', 'make', 'a', 'dollar', 'hi', 'mother', 'goe', 'to', 'scrub', 'the', 'floor', 'for', 'mani', 'and', 'you', ""'d"", 'best', 'believ', 'she', 'hardli', 'get', 'a', 'penni', 'live', 'just', 'enough', 'just', 'enough', 'for', 'the', 'citi', '...', 'yeah', 'hi', 'sister', ""'s"", 'black', 'but', 'she', 'is', 'sho', ""'nuff"", 'pretti', 'her', 'skirt', 'is', 'short', 'but', 'lord', 'her', 'leg', 'are', 'sturdi', 'To', 'walk', 'to', 'school', 'she', ""'s"", 'got', 'to', 'get', 'up', 'earli', 'her', 'cloth', 'are', 'old', 'but', 'never', 'are', 'they', 'dirti', 'live', 'just', 'enough', 'just', 'enough', 'for', 'the', 'citi', '...', 'um', 'hum', 'her', 'brother', ""'s"", 'smart', 'he', ""'s"", 'got', 'more', 'sens', 'than', 'mani', 'hi', 'patienc', ""'s"", 'long', 'but', 'soon', 'he', 'wo', ""n't"", 'have', 'ani', 'To', 'find', 'a', 'job', 'is', 'like', 'a', 'haystack', 'needl', 'caus', 'where', 'he', 'live', 'they', 'do', ""n't"", 'use', 'color', 'peopl', 'live', 'just', 'enough', 'just', 'enough', 'for', 'the', 'citi', '...', 'live', 'just', 'enough', '...', 'for', 'the', 'citi', '...', 'oohooh', 'hi', 'hair', 'is', 'long', 'hi', 'feet', 'are', 'hard', 'and', 'gritti', 'He', 'spend', 'hi', 'life', 'walk', 'the', 'street', 'of', 'new', 'york', 'citi', 'He', ""'s"", 'almost', 'dead', 'from', 'breath', 'in', 'air', 'pollut', 'He', 'tri', 'to', 'vote', 'but', 'to', 'him', 'there', ""'s"", 'no', 'solut', 'live', 'just', 'enough', 'just', 'enough', 'for', 'the', 'citi', '...', 'yeah', 'yeah', 'yeah', '!', 'I', 'hope', 'you', 'hear', 'insid', 'my', 'voic', 'of', 'sorrow', 'and', 'that', 'it', 'motiv', 'you', 'to', 'make', 'a', 'better', 'tomorrow', 'thi', 'place', 'is', 'cruel', 'no', 'where', 'could', 'be', 'much', 'colder', 'If', 'we', 'do', ""n't"", 'chang', 'the', 'world', 'will', 'soon', 'be', 'over', 'live', 'just', 'enough', 'just', 'enough', 'for', 'the', 'citi', '!', '!', '!', '!', 'La', 'la', 'la', 'la', 'la', 'la', 'Da', 'Ba', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Ba', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da', 'Da']"
73,the beatles,don't let me down,"['Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'nobodi', 'ever', 'love', 'me', 'like', 'she', 'doe', 'ooh', 'she', 'doe', 'yeah', 'she', 'doe', 'and', 'if', 'somebodi', 'love', 'me', 'like', 'she', 'do', 'me', 'ooh', 'she', 'do', 'me', 'ye', 'she', 'doe', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'I', ""'m"", 'in', 'love', 'for', 'the', 'first', 'time', 'Do', ""n't"", 'you', 'know', 'it', ""'s"", 'gon', 'na', 'last', '?', 'It', ""'s"", 'a', 'love', 'that', 'last', 'forev', 'It', ""'s"", 'a', 'love', 'that', 'had', 'no', 'past', '(', 'It', ""'s"", 'in', 'E', 'babi', ')', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', '(', 'ooh', ')', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'and', 'from', 'the', 'first', 'time', 'that', 'she', 'realli', 'done', 'me', 'ooh', 'she', 'done', 'me', 'she', 'done', 'me', 'good', 'I', 'guess', 'nobodi', 'ever', 'realli', 'done', 'me', 'ooh', 'she', 'done', 'me', 'she', 'done', 'me', 'good', 'Do', ""n't"", 'let', 'me', 'down', '(', 'hey', ')', 'Do', ""n't"", 'let', 'me', 'down', 'whoo-hoo', '(', 'do', ""n't"", 'let', 'me', 'down', ')', 'Do', ""n't"", 'let', 'me', 'down', '(', 'eee-he', ')', 'yeah', '(', 'ow', ')', '(', 'Ow', ')', '(', 'eee-he', ')', 'Do', ""n't"", 'let', 'me', 'down', '(', 'oww', ')', 'Do', ""n't"", 'let', 'me', 'down', 'Do', ""n't"", 'let', 'me', 'down', 'can', 'you', 'dig', 'it', '?', 'Do', ""n't"", 'let', 'me', 'down']"
